ticker,prediction_quarter,revenues
AAPL,2005-07-01,3520000000
AAPL,2005-10-01,3678000000
AAPL,2006-01-01,5749000000
AAPL,2006-04-01,4359000000
AAPL,2006-07-01,4370000000
AAPL,2006-10-01,4370000000
AAPL,2007-01-01,7115000000
AAPL,2007-04-01,5264000000
AAPL,2007-07-01,5410000000
AAPL,2007-10-01,6217000000
AAPL,2008-01-01,9608000000
AAPL,2008-04-01,7512000000
AAPL,2008-07-01,7464000000
AAPL,2008-10-01,7895000000
AAPL,2009-01-01,11880000000
AAPL,2009-04-01,9084000000
AAPL,2009-07-01,9734000000
AAPL,2009-10-01,9870000000
AAPL,2010-01-01,15683000000
AAPL,2010-04-01,13499000000
AAPL,2010-07-01,15700000000
AAPL,2010-10-01,20343000000
AAPL,2011-01-01,26741000000
AAPL,2011-04-01,24667000000
AAPL,2011-07-01,28571000000
AAPL,2011-10-01,28270000000
AAPL,2012-01-01,46333000000
AAPL,2012-04-01,39186000000
AAPL,2012-07-01,35023000000
AAPL,2012-10-01,35966000000
AAPL,2013-01-01,54512000000
AAPL,2013-04-01,43603000000
AAPL,2013-07-01,35323000000
AAPL,2013-10-01,37472000000
AAPL,2014-01-01,57594000000
AAPL,2014-04-01,45646000000
AAPL,2014-07-01,37432000000
AAPL,2014-10-01,42123000000
AAPL,2015-01-01,74599000000
AAPL,2015-04-01,58010000000
AAPL,2015-07-01,49605000000
AAPL,2015-10-01,51501000000
AAPL,2016-01-01,75872000000
AAPL,2016-04-01,50557000000
AAPL,2016-07-01,42358000000
AAPL,2016-10-01,46852000000
AAPL,2017-01-01,78351000000
AAPL,2017-04-01,52896000000
AAPL,2017-07-01,45408000000
AAPL,2017-10-01,52579000000
AAPL,2018-01-01,88293000000
AAPL,2018-04-01,61137000000
AAPL,2018-07-01,53265000000
AAPL,2018-10-01,62900000000
AAPL,2019-01-01,84310000000
AAPL,2019-04-01,58015000000
AAPL,2019-07-01,53809000000
AAPL,2019-10-01,64040000000
AAPL,2020-01-01,91819000000
AAPL,2020-04-01,58313000000
AAPL,2020-07-01,59685000000
AAPL,2020-10-01,64698000000
AAPL,2021-01-01,111439000000
AAPL,2021-04-01,89584000000
AAPL,2021-07-01,81434000000
AAPL,2021-10-01,83360000000
AAPL,2022-01-01,123945000000
AAPL,2022-04-01,97278000000
AAPL,2022-07-01,82959000000
AAPL,2022-10-01,90146000000
AAPL,2023-01-01,117154000000
AAPL,2023-04-01,94836000000
AAPL,2023-07-01,81797000000
AAPL,2023-10-01,89498000000
AAPL,2024-01-01,119575000000
AAPL,2024-04-01,90753000000
AAPL,2024-07-01,85777000000
AAPL,2024-10-01,94930000000
AAPL,2025-01-01,124300000000
AAPL,2025-04-01,95359000000
AAPL,2025-07-01,94036000000
